symbol,exchange,tradingClass,currency,multiplier,longName,minTick,priceMagnifier,timeZoneId,active_months,last_month,last_day,last_string,buffer,hourly,active,c4,cs4,e4,e7,e13
RB,NYMEX,RB,USD,42000.0,NYMEX RBOB Gasoline Index,0.0001,1,America/New_York,"01,02,03,04,05,06,07,08,09,10,11,12",0,-2,none,13,0,1,1,1,0,0,0
HO,NYMEX,HO,USD,42000.0,Heating Oil,0.0001,1,America/New_York,"01,02,03,04,05,06,07,08,09,10,11,12",0,-2,none,12,0,1,1,1,0,0,0
COIL,IPE,COIL,USD,1000.0,ICE Brent Crude,0.01,1,Europe/London,"01,02,03,04,05,06,07,08,09,10,11,12",0,-2,none,13,0,1,1,1,0,0,0
GOIL,IPE,GOIL,USD,100.0,ICE Gasoil,0.25,1,Europe/London,"01,02,03,04,05,06,07,08,09,10,11,12",0,-2,none,19,0,1,1,1,0,0,0
BRR,CME,BTC,USD,5.0,CME CF Bitcoin Reference Rate,5.0,1,America/Chicago,"01,02,03,04,05,06,07,08,09,10,11,12",0,-1,none,4,0,1,0,0,1,1,1
ETHUSDRR,CME,ETH,USD,50.0,CME CF Ether-Dollar Reference Rate,0.5,1,America/Chicago,"01,02,03,04,05,06,07,08,09,10,11,12",0,-1,none,4,0,1,0,0,1,1,1
LBR,CME,LBR,USD,27.5,Lumber Futures,0.5,1,America/Chicago,"01,03,05,07,09,11",0,-3,none,14,0,1,1,1,0,0,0
CC,NYBOT,CC,USD,10.0,Cocoa NYBOT,1.0,1,America/New_York,"03,05,07,09,12",-1,-10,none,11,0,1,0,1,0,0,0
CT,NYBOT,CT,USD,50000.0,Cotton No. 2,0.0001,100,America/New_York,"03,05,07,12",-1,-10,none,8,0,1,1,1,0,0,0
KC,NYBOT,KC,USD,37500.0,"Coffee ""C""",0.0005,100,America/New_York,"03,05,07,09,12",-1,-10,none,8,0,1,1,1,0,0,0
D,ICEEUSOFT,RC,USD,10.0,Robusta Coffee,1.0,1,Europe/London,"01,03,05,07,09,11",-1,-7,none,10,0,1,1,1,0,0,0
W,ICEEUSOFT,W,USD,50.0,White Sugar,0.1,1,Europe/London,"03,05,08,10,12",-1,-2,none,11,0,1,1,1,0,0,0
OJ,NYBOT,OJ,USD,15000.0,"FC Orange Juice ""A""",0.0005,100,America/New_York,"01,03,05,07,09,11",-1,-3,none,9,0,1,1,1,0,0,0
SB,NYBOT,SB,USD,112000.0,Sugar No. 11,0.0001,100,America/New_York,"03,05,07,10",-1,-2,none,15,0,1,1,1,0,0,0
CSC,CME,CSC,USD,20000.0,Cheese,0.001,1,America/Chicago,"01,02,03,04,05,06,07,08,09,10,11,12",-1,-1,none,10,0,1,1,1,0,0,0
DA,CME,DC,USD,2000.0,MILK CLASS III INDEX,0.01,1,America/Chicago,"01,02,03,04,05,06,07,08,09,10,11,12",-1,-1,none,10,0,1,1,1,0,0,0
GF,CME,GF,USD,50000.0,Feeder Cattle,0.00025,100,America/Chicago,"01,03,04,05,08,09,10,11",0,-2,none,30,0,1,1,1,0,0,0
LE,CME,LE,USD,40000.0,Live Cattle,0.00025,100,America/Chicago,"02,04,06,08,10,12",0,-1,first_friday,18,0,1,1,1,0,0,0
HE,CME,HE,USD,40000.0,Lean Hogs,0.00025,100,America/Chicago,"02,04,06,07,08,10,12",0,-2,none,25,0,1,1,1,0,0,0
ZB,CBOT,ZB,USD,1000.0,US Treasury Bond,0.03125,1,America/Chicago,"03,06,09,12",-1,-3,none,2,0,1,0,0,1,1,1
ZN,CBOT,ZN,USD,1000.0,10 Year US Treasury Note,0.015625,1,America/Chicago,"03,06,09,12",-1,-3,none,2,0,1,0,0,1,1,1
ZL,CBOT,ZL,USD,60000.0,Soybean Oil Futures,0.0001,100,America/Chicago,"03,05,07,12",-1,-4,none,14,0,1,1,1,0,0,0
ZC,CBOT,ZC,USD,5000.0,Corn Futures,0.0025,100,America/Chicago,"03,05,07,09,12",-1,-3,none,14,0,1,1,1,0,0,0
KE,CBOT,KE,USD,5000.0,Hard Red Winter Wheat -KCBOT-,0.0025,100,America/Chicago,"03,05,07,09,12",-1,-4,none,14,0,1,1,1,0,0,0
ZO,CBOT,ZO,USD,5000.0,Oat Futures,0.0025,100,America/Chicago,"03,05,07,12",-1,-4,none,12,0,1,1,1,0,0,0
ZR,CBOT,ZR,USD,2000.0,Rough Rice Futures,0.005,1,America/Chicago,"01,03,05,07,09,11",-1,-4,none,9,0,1,1,1,0,0,0
ZS,CBOT,ZS,USD,5000.0,Soybean Futures,0.0025,100,America/Chicago,"01,03,05,07,11",-1,-3,none,13,0,1,1,1,0,0,0
ZM,CBOT,ZM,USD,100.0,Soybean Meal Futures,0.1,1,America/Chicago,"03,05,07,12",-1,-4,none,14,0,1,1,1,0,0,0
ZW,CBOT,ZW,USD,5000.0,Wheat Futures,0.0025,100,America/Chicago,"03,05,07,09,12",-1,-3,none,13,0,1,1,1,0,0,0
XINA50,SGX,CN,USD,1.0,FTSE/Xinhua China A50,1.0,1,Asia/Singapore,"03,06,09,12",0,-2,none,2,1,1,0,0,1,1,1
SCI,SGX,FEF,USD,100.0,SGX IODEX Iron Ore Futures,0.05,1,Asia/Singapore,"01,02,03,04,05,06,07,08,09,10,11,12",0,-3,none,30,1,1,1,1,0,0,0
NIFTY,SGX,NIFTY,USD,2.0,SGX NSE IFSC Nifty 50 Index,0.5,1,Asia/Singapore,"01,02,03,04,05,06,07,08,09,10,11,12",0,-3,none,1,1,0,0,0,0,0,0
TWN,SGX,TWN,USD,40.0,FTSE Taiwan RIC Capped Price Return TWD Index,0.25,1,Asia/Singapore,"01,02,03,04,05,06,07,08,09,10,11,12",0,-2,none,2,1,0,0,0,0,0,0
TSR20,SGX,TF,USD,50.0,SICOM Rubber,0.1,1,Asia/Singapore,"01,02,03,04,05,06,07,08,09,10,11,12",0,-5,none,50,0,1,1,1,0,0,0
VIX,CFE,VX,USD,1000.0,CBOE Volatility Index,0.05,1,America/Chicago,"01,02,03,04,05,06,07,08,09,10,11,12",0,-2,none,30,0,0,0,0,0,0,0
DX,NYBOT,DX,USD,1000.0,US Dollar Index,0.005,1,America/New_York,"03,06,09,12",0,-2,none,3,0,1,0,0,1,1,1
SR3,CME,SR3,USD,2500.0,3 Month SOFR,0.0025,1,America/Chicago,"03,06,09,12",-1,-2,none,140,0,1,0,0,1,1,1
ZF,CBOT,ZF,USD,1000.0,5 Year US Treasury Note,0.0078125,1,America/Chicago,"03,06,09,12",-1,-3,none,2,0,1,0,0,1,1,1
ZT,CBOT,ZT,USD,2000.0,2 Year US Treasury Note,0.00390625,1,America/Chicago,"03,06,09,12",-1,-4,none,1,0,1,0,0,1,1,1
